library,profile_c604,term,overlap_size_c604,mean_r_c604,median_r_c604,auc_c604,p_value_c604,fdr_c604,rank_positive_c604,profile_mastl,overlap_size_mastl,mean_r_mastl,median_r_mastl,auc_mastl,p_value_mastl,fdr_mastl,rank_positive_mastl
Reactome_2022,C-604 2 uM endpoint,Processing Of DNA Double-Strand Break Ends R-HSA-5693607,68,0.020438626534428853,0.016424216896714902,0.6406210847529769,3.0505395377839826e-05,0.0015830467026736188,26,MASTL dependency profile,68,0.02417247187370112,0.0201978367687077,0.6272578884494975,0.00014286605388966073,0.003490334416251802,57
Reactome_2022,C-604 2 uM endpoint,Condensation Of Prophase Chromosomes R-HSA-2299718,31,0.020298640785397223,0.015338786437296111,0.6468743073738622,0.0023262694473408533,0.05162102678384941,63,MASTL dependency profile,31,0.040664306403870254,0.045461218465280055,0.7347110899893494,3.0525909533047577e-06,0.00019876062659952913,21
Reactome_2022,C-604 2 uM endpoint,Activated PKN1 Stimulates Transcription Of Androgen Receptor Regulated KLK2 And KLK3 R-HSA-5625886,25,0.019796837128188697,0.01856964838264908,0.6478882421420256,0.005240490358906613,0.09044698175001785,81,MASTL dependency profile,25,0.047744603186836584,0.046738545763185736,0.7729716514348914,1.1539007441748816e-06,0.0001152252314540346,14
Reactome_2022,C-604 2 uM endpoint,G2/M DNA Damage Checkpoint R-HSA-69473,67,0.019531055964800172,0.018562359992732633,0.636490786817459,5.6113025878631414e-05,0.0026148670059442237,30,MASTL dependency profile,67,0.035401881495035384,0.03884961423587039,0.6930504738372676,2.3396488854994577e-08,1.0902763806427474e-05,3
Reactome_2022,C-604 2 uM endpoint,Assembly Of ORC Complex At Origin Of Replication R-HSA-68616,27,0.018903094686208297,0.015338786437296111,0.6432322997115173,0.004996616568462717,0.08842113876849213,79,MASTL dependency profile,27,0.04762939588689038,0.056245606651606384,0.7760291000670578,3.444627805254533e-07,4.8155896717458373e-05,10
Reactome_2022,C-604 2 uM endpoint,rRNA Processing R-HSA-72312,172,0.01837050924021371,0.01989502909753409,0.6417501457499054,7.399949498575599e-11,1.4778756284298126e-08,7,MASTL dependency profile,172,0.019083369726487418,0.01737577408264504,0.6027149988530481,1.7173946289310623e-06,0.00014123045242621325,17
Reactome_2022,C-604 2 uM endpoint,Meiotic Recombination R-HSA-912446,44,0.01826049198668195,0.011406891248502835,0.6185748870324361,0.0032536182506873726,0.0668905634479551,68,MASTL dependency profile,44,0.0355287849664695,0.0405088349528136,0.6885304089849544,7.57779745920084e-06,0.00042375043391851096,25
Reactome_2022,C-604 2 uM endpoint,Peptide Chain Elongation R-HSA-156902,63,0.018021216526611223,0.020669643004593154,0.636404968396568,9.07293242011388e-05,0.0037305763303880014,34,MASTL dependency profile,63,0.02800947444229194,0.018391347627942596,0.6533615215722444,1.28318767913678e-05,0.0006607183262757109,27
Reactome_2022,C-604 2 uM endpoint,DNA Double-Strand Break Repair R-HSA-5693532,135,0.017904487716536067,0.015147693541367534,0.6176805745405628,1.1921222469419493e-06,8.771510006446554e-05,19,MASTL dependency profile,135,0.018411637602527186,0.011458467282192892,0.5950965905269028,6.881268483773293e-05,0.0020041694458989715,48
Reactome_2022,C-604 2 uM endpoint,Defective Pyroptosis R-HSA-9710421,30,0.01766936164000604,0.020974405584192234,0.633506065016982,0.005690166451220355,0.09486542095290353,83,MASTL dependency profile,30,0.037089193362901854,0.03691300929566469,0.7099937890609836,3.435017140793577e-05,0.0012637247270603739,38
Reactome_2022,C-604 2 uM endpoint,Eukaryotic Translation Elongation R-HSA-156842,67,0.01763153826883858,0.020669643004593154,0.6353020171635695,6.436559871596763e-05,0.002811972093903836,32,MASTL dependency profile,67,0.026625835418581094,0.018391347627942596,0.6456841659706369,1.8724865422273377e-05,0.0008444310277528446,31
Reactome_2022,C-604 2 uM endpoint,Response Of EIF2AK4 (GCN2) To Amino Acid Deficiency R-HSA-9633012,76,0.017544485235647944,0.017694590086657577,0.6348636200226763,2.415490361884477e-05,0.0014681980547454343,23,MASTL dependency profile,76,0.019651314435984765,0.015606406861167602,0.6032980776321936,0.0009274448507714101,0.017521187856465288,74
Reactome_2022,C-604 2 uM endpoint,Eukaryotic Translation Termination R-HSA-72764,67,0.017277946986065867,0.020669643004593154,0.6338737517918634,7.579345906455628e-05,0.0032108865385530204,33,MASTL dependency profile,67,0.02468538469566806,0.017355056140342617,0.6280771552170872,0.0001448064350090161,0.003490334416251802,58
Reactome_2022,C-604 2 uM endpoint,rRNA Processing In Nucleus And Cytosol R-HSA-8868773,162,0.01724665831227846,0.017694590086657577,0.6331070357259018,2.5955919326529653e-09,3.6286375218488454e-07,10,MASTL dependency profile,162,0.020414921951038917,0.0186492315492851,0.6103975508583731,6.349813152969259e-07,7.397532323209186e-05,12
Reactome_2022,C-604 2 uM endpoint,Recruitment And ATM-mediated Phosphorylation Of Repair And Signal Proteins At DNA Double Strand Breaks R-HSA-5693565,51,0.01651112657913852,0.015338786437296111,0.6141036104309976,0.0024125462986187753,0.05188830346875459,65,MASTL dependency profile,51,0.03636398693842579,0.03147677846256489,0.6906606401669861,1.2414041345235645e-06,0.00011569886533759622,15
Reactome_2022,C-604 2 uM endpoint,Major Pathway Of rRNA Processing In Nucleolus And Cytosol R-HSA-6791226,152,0.016411358135288493,0.016525680636004944,0.6256219001441327,4.6170716966547555e-08,4.965127870710267e-06,13,MASTL dependency profile,152,0.02042660047872969,0.01901888307559202,0.6128969282812944,7.927641290943665e-07,8.525263480568648e-05,13
Reactome_2022,C-604 2 uM endpoint,Nonsense Mediated Decay (NMD) Independent Of Exon Junction Complex (EJC) R-HSA-975956,70,0.01621015705094396,0.018662173564802077,0.6212880903747551,0.00022575261896150736,0.008305320034425981,38,MASTL dependency profile,70,0.023701918042297928,0.017873201884142605,0.6286623088595774,9.911020778073468e-05,0.002614265480706926,53
