library,profile,term,overlap_size,mean_r,median_r,auc,p_value,fdr,rank_positive
Reactome_2022,MASTL dependency profile,PRC2 Methylates Histones And DNA R-HSA-212300,31,0.03513343380497446,0.040923488034447515,0.6980894615140422,6.753157875815906e-05,0.0020041694458989715,47
Reactome_2022,MASTL dependency profile,DNA Double-Strand Break Repair R-HSA-5693532,135,0.018411637602527186,0.011458467282192892,0.5950965905269028,6.881268483773293e-05,0.0020041694458989715,48
Reactome_2022,MASTL dependency profile,Selenoamino Acid Metabolism R-HSA-2408522,91,0.02175912645527259,0.016896548853170344,0.6153409495897663,7.197650820567179e-05,0.002053533846357738,49
Reactome_2022,MASTL dependency profile,ERCC6 (CSB) And EHMT2 (G9a) Positively Regulate rRNA Expression R-HSA-427389,34,0.032719421365142776,0.045614065322750294,0.686828942409812,8.165584681938244e-05,0.002283097477069933,50
Reactome_2022,MASTL dependency profile,RNA Polymerase I Promoter Escape R-HSA-73772,45,0.03145323217773128,0.025608985971067897,0.661600326359345,8.834194799652353e-05,0.0024216086921399977,51
Reactome_2022,MASTL dependency profile,RNA Polymerase I Transcription R-HSA-73864,65,0.024769381519338083,0.025497615689230136,0.6336614199733401,9.735573227959366e-05,0.002614265480706926,52
Reactome_2022,MASTL dependency profile,Nonsense Mediated Decay (NMD) Independent Of Exon Junction Complex (EJC) R-HSA-975956,70,0.023701918042297928,0.017873201884142605,0.6286623088595774,9.911020778073468e-05,0.002614265480706926,53
Reactome_2022,MASTL dependency profile,Homology Directed Repair R-HSA-5693538,106,0.01978750965851021,0.015845055221682867,0.6039297324855384,0.00010989522168997934,0.0028450651837516874,54
Reactome_2022,MASTL dependency profile,Polymerase Switching On C-strand Of Telomere R-HSA-174411,22,0.05231398069212017,0.047714070457776744,0.7246642892667803,0.00013219604595860282,0.0033601831318204865,55
Reactome_2022,MASTL dependency profile,RNA Polymerase I Promoter Clearance R-HSA-73854,64,0.024636098390651225,0.024061549162488663,0.6316009699533256,0.00013625299616349139,0.003401458725652874,56
Reactome_2022,MASTL dependency profile,Processing Of DNA Double-Strand Break Ends R-HSA-5693607,68,0.02417247187370112,0.0201978367687077,0.6272578884494975,0.00014286605388966073,0.003490334416251802,57
Reactome_2022,MASTL dependency profile,Eukaryotic Translation Termination R-HSA-72764,67,0.02468538469566806,0.017355056140342617,0.6280771552170872,0.0001448064350090161,0.003490334416251802,58
Reactome_2022,MASTL dependency profile,Mitochondrial tRNA Aminoacylation R-HSA-379726,21,0.0345245377290596,0.0432291136415947,0.7258641569879422,0.00016972655496634388,0.0040216563363211656,59
Reactome_2022,MASTL dependency profile,Extension Of Telomeres R-HSA-180786,46,0.033734794336644953,0.02161909043092345,0.6504089865546304,0.00020859327444422733,0.004860223294550496,60
Reactome_2022,MASTL dependency profile,Pre-NOTCH Transcription And Translation R-HSA-1912408,51,0.02716561526371291,0.025608985971067897,0.6383219993529972,0.0003169159811880156,0.00726309084755485,61
Reactome_2022,MASTL dependency profile,Reproduction R-HSA-1474165,97,0.019956133898118813,0.023253262369174913,0.6000859357627161,0.0003309085188525033,0.007461453376706446,62
Reactome_2022,MASTL dependency profile,tRNA Modification In Nucleus And Cytosol R-HSA-6782315,42,0.02678476836203194,0.02844314611517785,0.6511076520108101,0.00035189177657360133,0.007808646089680868,63
Reactome_2022,MASTL dependency profile,Presynaptic Phase Of Homologous DNA Pairing And Strand Exchange R-HSA-5693616,38,0.02834573663286202,0.021187651758393797,0.6582902555234644,0.0003673317055434836,0.00802390194296547,64
Reactome_2022,MASTL dependency profile,B-WICH Complex Positively Regulates rRNA Expression R-HSA-5250924,46,0.025562933597944468,0.024380606389233807,0.6413258867710334,0.00045681892186441727,0.00982512081179162,65
Reactome_2022,MASTL dependency profile,Homologous DNA Pairing And Strand Exchange R-HSA-5693579,41,0.02728809711361874,0.019870926407215682,0.6493890004448025,0.00046723770703771224,0.00989694415816245,66
Reactome_2022,MASTL dependency profile,HDR Thru Single Strand Annealing (SSA) R-HSA-5685938,35,0.027618042363953606,0.023120118334215522,0.6607157418270471,0.0005005314076087633,0.010443923997567927,67
Reactome_2022,MASTL dependency profile,SIRT1 Negatively Regulates rRNA Expression R-HSA-427359,26,0.0349848857823883,0.039900459352130664,0.6856645799188587,0.0005247745400601611,0.010788747161825077,68
Reactome_2022,MASTL dependency profile,Cellular Senescence R-HSA-2559583,142,0.015138330854611288,0.014192130794297588,0.5792837555163356,0.0005587156992432595,0.01132006590640691,69
Reactome_2022,MASTL dependency profile,Activated TAK1 Mediates P38 MAPK Activation R-HSA-450302,19,0.0321545466259158,0.027405847720924772,0.7147512365434973,0.0005960487859010469,0.011903945752709479,70
Reactome_2022,MASTL dependency profile,Amyloid Fiber Formation R-HSA-977225,65,0.02220276304271794,0.018478266612222585,0.6154106468827281,0.0006475955461403468,0.01275124751414373,71
Reactome_2022,MASTL dependency profile,Pre-NOTCH Expression And Processing R-HSA-1912422,67,0.023556994067442962,0.023152226807399718,0.6134757733767993,0.0006608718765765766,0.012831928936861862,72
Reactome_2022,MASTL dependency profile,Nucleotide Biosynthesis R-HSA-8956320,13,0.042935479463584475,0.05958379450857236,0.7559098454916033,0.0006991922335686363,0.0133900101716295,73
Reactome_2022,MASTL dependency profile,Response Of EIF2AK4 (GCN2) To Amino Acid Deficiency R-HSA-9633012,76,0.019651314435984765,0.015606406861167602,0.6032980776321936,0.0009274448507714101,0.017521187856465288,74
Reactome_2022,MASTL dependency profile,NoRC Negatively Regulates rRNA Expression R-HSA-427413,61,0.021364578186708758,0.020749782319898404,0.6145661900904924,0.0009872460445057758,0.018226257717737573,75
Reactome_2022,MASTL dependency profile,PCNA-Dependent Long Patch Base Excision Repair R-HSA-5651801,21,0.03294764971273329,0.027985914226588807,0.6949365790662421,0.0009923204114726776,0.018226257717737573,76
