gene,profile,n_models,pearson_r,p_value,fdr,rank_positive
SYK,MASTL dependency strength vs dependency strength,1165,-0.013426193352712,0.6471012978629906,0.8457473505989881,10851
CTRL,MASTL dependency strength vs dependency strength,1165,-0.01342916286321502,0.6470285430671235,0.8457473505989881,10852
CFAP276,MASTL dependency strength vs dependency strength,1165,-0.013431786532312312,0.646964264397243,0.8457473505989881,10853
IL32,MASTL dependency strength vs dependency strength,1165,-0.013437614342310526,0.6468214951797223,0.8457473505989881,10854
KCNN1,MASTL dependency strength vs dependency strength,1165,-0.013439463221770118,0.6467762041928502,0.8457473505989881,10855
ZNF227,MASTL dependency strength vs dependency strength,1165,-0.013439577263958353,0.646773410606651,0.8457473505989881,10856
CLBA1,MASTL dependency strength vs dependency strength,1165,-0.013440135703762488,0.646759731094116,0.8457473505989881,10857
FAM167A,MASTL dependency strength vs dependency strength,1165,-0.01344264889689798,0.6466981695208294,0.8457473505989881,10858
SPX,MASTL dependency strength vs dependency strength,1165,-0.013443918510309,0.6466670708000649,0.8457473505989881,10859
SLC27A1,MASTL dependency strength vs dependency strength,1165,-0.013444544109376788,0.6466517472041188,0.8457473505989881,10860
COPS5,MASTL dependency strength vs dependency strength,1165,-0.013447090521516485,0.6465893762279556,0.8457473505989881,10861
NEMP2,MASTL dependency strength vs dependency strength,1165,-0.013452034463762436,0.6464682880247918,0.8457473505989881,10862
FIS1,MASTL dependency strength vs dependency strength,1165,-0.013457113096208971,0.6463439106939776,0.8457473505989881,10863
IFNGR2,MASTL dependency strength vs dependency strength,1165,-0.01345984030985543,0.6462771244337973,0.8457473505989881,10864
SCN4A,MASTL dependency strength vs dependency strength,1165,-0.01346262673545657,0.6462088910824928,0.8457473505989881,10865
TM4SF4,MASTL dependency strength vs dependency strength,1165,-0.013475640949127714,0.645890241368542,0.8457154775902459,10866
SVIL,MASTL dependency strength vs dependency strength,1165,-0.013480515828076424,0.6457708978983842,0.845626619534465,10867
NFXL1,MASTL dependency strength vs dependency strength,1165,-0.01348165041133237,0.6457431231092516,0.845626619534465,10868
SLCO3A1,MASTL dependency strength vs dependency strength,1165,-0.013490109887521341,0.6455360492618695,0.8454477916794461,10869
TSPYL2,MASTL dependency strength vs dependency strength,1165,-0.013493624323280107,0.6454500298113672,0.8454477916794461,10870
NDUFB9,MASTL dependency strength vs dependency strength,1165,-0.013496727549594367,0.6453740790751701,0.8454477916794461,10871
MORN1,MASTL dependency strength vs dependency strength,1165,-0.013515563395421698,0.6449131554446735,0.8454477916794461,10872
ANKRD10,MASTL dependency strength vs dependency strength,1165,-0.013525593086590694,0.6446677788958562,0.8454477916794461,10873
DNAJB5,MASTL dependency strength vs dependency strength,1165,-0.013525814696392725,0.6446623576449881,0.8454477916794461,10874
AVP,MASTL dependency strength vs dependency strength,1165,-0.013540733797621171,0.6442974343873079,0.8454346015711423,10875
PRDM11,MASTL dependency strength vs dependency strength,1165,-0.01354677105605834,0.6441497865425134,0.8453053339189475,10876
RO60,MASTL dependency strength vs dependency strength,1165,-0.013549701871961025,0.6440781152473496,0.8452757567103061,10877
PHACTR2,MASTL dependency strength vs dependency strength,1165,-0.013553753037538984,0.6439790519335109,0.845210223486735,10878
CPA3,MASTL dependency strength vs dependency strength,1165,-0.013554249106191093,0.6439669219809587,0.845210223486735,10879
MC1R,MASTL dependency strength vs dependency strength,1165,-0.01355705304444652,0.6438983614006155,0.845210223486735,10880
EGFR,MASTL dependency strength vs dependency strength,1165,-0.013561302110975811,0.6437944709909232,0.845210223486735,10881
TRAF5,MASTL dependency strength vs dependency strength,1165,-0.013571270616048056,0.6435507666090464,0.8450349098414008,10882
